ID,Question,Option 1,Option 2,Option 3,Option 4,Answer Index,Difficulty,Hint
1,ما هي عاصمة لبنان؟,القدس,بيروت,بغداد,مقاديشو,1,1,تلقب بـ 'ست الدنيا'.
102,ما هو لون العلم السعودي؟,أحمر,أزرق,أخضر,أصفر,2,1,يرمز للنماء والخير.
103,كم عدد ألوان قوس قزح؟,5,6,7,8,2,1,تبدأ بالأحمر وتنتهي بالبنفسجي.
104,ما هو الطائر الذي يلقب بـ 'ملك الطيور'؟,الصقر,النسر,البومة,الغراب,1,1,يرمز للقوة والشموخ.
105,ما هو عكس كلمة 'كبير'؟,واسع,طويل,صغير,ضيق,2,1,كلمة تبدأ بحرف الصاد.
106,ما هو لون الموز الناضج؟,أحمر,أصفر,أخضر,أسود,1,1,لون الشمس.
107,كم عدد أيام الأسبوع؟,5,6,7,8,2,1,يبدأ بالسبت وينتهي بالجمعة.
108,ما هو اسم صوت القطة؟,زئير,صهيل,مواء,نباح,2,1,صوت رقيق.
109,ما هو الركن الأول من أركان الإسلام؟,الصلاة,الشهادتان,الزكاة,الصوم,1,1,مفتاح الدخول في الإسلام.
110,كم عدد ركعات صلاة الفجر؟,2,3,4,1,0,1,أول صلاة في اليوم.
112,ما هو لون العلم السعودي؟,أحمر,أخضر,أبيض,أزرق,1,1,لون الطبيعة والنماء.
113,كم عدد أركان الإسلام؟,3,4,5,6,2,1,بني الإسلام على...
114,ما هو اسم بيت العنكبوت؟,جحر,عش,وهن,قرية,2,1,ذكر في القرآن أنه أوهن البيوت.
2,في أي شهر هجري يصوم المسلمون؟,شوال,رجب,رمضان,شعبان,2,2,هو الشهر التاسع في التقويم الهجري.
202,ما هو الحيوان الملقب بسفينة الصحراء؟,الحصان,الجمل,الحمار,الفيل,1,2,يتحمل العطش لفترات طويلة.
203,ما هي عاصمة مصر؟,الإسكندرية,القاهرة,أسوان,الأقصر,1,2,تسمى مدينة الألف مئذنة.
204,ما هو الكوكب الذي نعيش عليه؟,المريخ,الزهرة,الأرض,المشتري,2,2,يسمى الكوكب الأزرق.
205,كم عدد أصابع اليد الواحدة؟,4,5,6,10,1,2,نفس عدد أركان الإسلام.
206,ما هو الطائر الذي يبيض في أعشاش الطيور الأخرى؟,الغراب,الوقواق,الهدهد,البومة,1,2,طائر مخادع.
207,ما هي عاصمة السعودية؟,جدة,مكة,الرياض,الدمام,2,2,وسط المملكة.
208,ما هو الحيوان الذي يلقب بـ 'ملك الغابة'؟,النمر,الأسد,الفيل,الذئب,1,2,له لبدة كبيرة.
209,من هو النبي الذي لقب بـ 'كليم الله'؟,إبراهيم عليه السلام,موسى عليه السلام,عيسى عليه السلام,نوح عليه السلام,1,2,كلمه الله عند جبل الطور.
210,كم عدد أركان الإيمان؟,5,6,7,4,1,2,تبدأ بالإيمان بالله وتنتهي بالقدر.
212,ما هو أسرع حيوان بري؟,الأسد,النمر,الفهد,الغزال,2,2,يتميز بنقاط سوداء وسرعة هائلة.
213,كم عدد القلوب لدى الأخطبوط؟,1,2,3,4,2,2,حيوان بحري عجيب.
214,ما هو الغاز الذي نتنفسه؟,النيتروجين,الأكسجين,الهيدروجين,ثاني أكسيد الكربون,1,2,ضروري للحياة.
3,ما هو الركن الثاني من أركان الإسلام؟,الزكاة,الصلاة,الصوم,الحج,1,3,هي عماد الدين.
302,من هو مخترع المصباح الكهربائي؟,نيوتن,أينشتاين,توماس إديسون,جراهام بيل,2,3,أجرى آلاف التجارب قبل النجاح.
303,ما هو أكبر كوكب في المجموعة الشمسية؟,الأرض,المريخ,المشتري,زحل,2,3,كوكب غازي ضخم.
304,ما هي عاصمة الأردن؟,عمان,إربد,العقبة,الزرقاء,0,3,مدينة الجبال السبعة.
305,ما هو الحيوان الذي ينام وعيناه مفتوحتان؟,الأسد,الدلفين,السمك,التمساح,2,3,يعيش في الماء.
306,ما هو اسم صغير الكلب؟,شبل,جرو,حمل,مهر,1,3,يبدأ بحرف الجيم.
307,ما هي عاصمة الإمارات؟,دبي,الشارقة,أبوظبي,عجمان,2,3,أكبر الإمارات مساحة.
308,كم عدد شهور السنة؟,10,11,12,13,2,3,تبدأ بيناير/محرم.
309,من هو أول المؤذنين في الإسلام؟,أبو بكر الصديق,عمر بن الخطاب,بلال بن رباح,علي بن أبي طالب,2,3,صحابي حبشي جميل الصوت.
310,ما هو اسم الغار الذي نزل فيه الوحي أول مرة؟,غار ثور,غار حراء,غار أحد,غار الخندق,1,3,يقع في جبل النور.
312,ما هي أكبر قارة في العالم؟,أفريقيا,آسيا,أوروبا,أمريكا الشمالية,1,3,تضم الصين والهند.
